2026-05-20 20:53:36 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:53:40 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:53:40 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 20:53:40 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 20:53:40 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 20:53:42 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 20:53:44 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 20:53:57 | INFO | test_cases.py:150 | Results Heading: Property for Rent in Hyderabad
2026-05-20 20:53:57 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:54:00 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 20:54:00 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:54:03 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:54:03 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 20:54:03 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 20:54:04 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 20:54:05 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 20:54:11 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 20:54:40 | INFO | test_cases.py:53 | Screenshot Attached To Allure Report: 2bhk_filter
2026-05-20 20:54:40 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:54:43 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 20:54:43 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:54:47 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:54:47 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 20:54:47 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 20:54:48 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 20:54:50 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 20:54:52 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 20:55:05 | INFO | test_cases.py:220 | Getting Displayed Location
2026-05-20 20:55:05 | INFO | test_cases.py:228 | Displayed Location: Hyderabad
2026-05-20 20:55:05 | INFO | test_cases.py:53 | Screenshot Attached To Allure Report: search_location_displayed
2026-05-20 20:55:05 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:55:07 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 20:55:07 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:55:11 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:55:11 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 20:55:11 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 20:55:11 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 20:55:12 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 20:55:18 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 20:55:53 | INFO | test_cases.py:302 | Property Title: 3BHK 3Baths
Flat/Apartment for Rent
in BSCPL Bollineni Bion, Kondapur, Hyderabad
2026-05-20 20:55:53 | INFO | test_cases.py:307 | Rent Amount: Rs1
2026-05-20 20:55:54 | INFO | test_cases.py:53 | Screenshot Attached To Allure Report: property_details_page
2026-05-20 20:55:54 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:55:56 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 20:55:56 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:56:00 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:56:00 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 20:56:00 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 20:56:00 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 20:56:01 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 20:56:07 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 20:57:13 | INFO | test_cases.py:53 | Screenshot Attached To Allure Report: shortlist_login_popup
2026-05-20 20:57:13 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:57:16 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 20:57:16 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 20:57:22 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 20:57:23 | INFO | test_cases.py:53 | Screenshot Attached To Allure Report: empty_location_validation
2026-05-20 20:57:23 | INFO | conftest.py:73 | Closing Browser
2026-05-20 20:57:25 | INFO | conftest.py:77 | Browser Closed Successfully
2026-05-20 21:28:39 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-20 21:28:46 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-20 21:28:46 | INFO | test_cases.py:73 | Starting Search Flow
2026-05-20 21:28:46 | INFO | test_cases.py:79 | Clicking Rent Tab
2026-05-20 21:28:47 | INFO | test_cases.py:85 | Entering Location: Rent in Hyderabad
2026-05-20 21:28:48 | INFO | test_cases.py:92 | Clicking Search
2026-05-20 21:28:51 | INFO | test_cases.py:112 | Closing Result Page Popups
2026-05-20 21:29:03 | INFO | test_cases.py:150 | Results Heading: Property for Rent in Hyderabad
2026-05-20 21:29:03 | INFO | conftest.py:73 | Closing Browser
2026-05-20 21:29:06 | INFO | conftest.py:77 | Browser Closed Successfully
